time,fips,region,geo_level,population
2001,00,United States,us,284968955.0
2002,00,United States,us,287625193.0
2003,00,United States,us,290107933.0
2004,00,United States,us,292805298.0
2005,00,United States,us,295516599.0
2006,00,United States,us,298379912.0
2007,00,United States,us,301231207.0
2008,00,United States,us,304093966.0
2009,00,United States,us,306771529.0
2010,00,United States,us,309321666.0
2011,00,United States,us,311556874.0
2012,00,United States,us,313830990.0
2013,00,United States,us,315993715.0
2014,00,United States,us,318301008.0
2015,00,United States,us,320635163.0
2016,00,United States,us,322941311.0
2017,00,United States,us,324985539.0
2018,00,United States,us,326687501.0
2019,00,United States,us,328239523.0
2020,00,United States,us,329484123.0
