time,fips,region,geo_level,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1990,24,Maryland,state,A05,1,,369590.0,,,540142,
1990,24,Maryland,state,A05,2,,427058.0,,,590712,
1990,24,Maryland,state,A05,3,,433107.0,,,587805,
1990,24,Maryland,state,A05,4,,723689.0,,,956036,
1990,24,Maryland,state,A05,5,,4893157.0,,,6067674,
1990,55,Wisconsin,state,A05,1,,346485.0,,,469434,
1990,55,Wisconsin,state,A05,2,,416216.0,,,550056,
1990,55,Wisconsin,state,A05,3,,343923.0,,,444979,
1990,55,Wisconsin,state,A05,4,,630963.0,,,794091,
1990,55,Wisconsin,state,A05,5,,5890417.0,,,6851000,
1991,16,Idaho,state,A05,1,,81664.0,,,130956,
1991,16,Idaho,state,A05,2,,86176.0,,,125758,
1991,16,Idaho,state,A05,3,,75925.0,,,106535,
1991,16,Idaho,state,A05,4,,146457.0,,,200035,
1991,16,Idaho,state,A05,5,,893753.0,,,1089129,
1991,24,Maryland,state,A05,1,282253.0,304323.0,5421.0,207865.0,439702,22070.0
1991,24,Maryland,state,A05,2,384171.0,376640.0,6188.0,300539.0,506278,-7530.0
1991,24,Maryland,state,A05,3,407547.0,398903.0,6631.0,325641.0,527777,-8645.0
1991,24,Maryland,state,A05,4,769252.0,753939.0,6985.0,622257.0,972942,-15313.0
1991,24,Maryland,state,A05,5,4854305.0,4787206.0,8290.0,4162083.0,5798684,-67099.0
1991,41,Oregon,state,A05,1,,277014.0,,,414209,
1991,41,Oregon,state,A05,2,,231696.0,,,330543,
1991,41,Oregon,state,A05,3,,240683.0,,,331425,
1991,41,Oregon,state,A05,4,,506004.0,,,676513,
1991,41,Oregon,state,A05,5,,2848354.0,,,3441981,
1991,55,Wisconsin,state,A05,1,298422.0,322826.0,4344.0,233964.0,434329,24404.0
1991,55,Wisconsin,state,A05,2,347608.0,347442.0,4618.0,282812.0,448125,-167.0
1991,55,Wisconsin,state,A05,3,385698.0,386222.0,5099.0,318790.0,494139,523.0
1991,55,Wisconsin,state,A05,4,682818.0,683748.0,5516.0,576607.0,846698,928.0
1991,55,Wisconsin,state,A05,5,5953530.0,5948432.0,7382.0,5352338.0,6844890,-5097.0
1992,06,California,state,A05,1,2959473.0,3155298.0,6601.0,2268001.0,4553928,195827.0
1992,06,California,state,A05,2,2746106.0,2718967.0,6858.0,2156258.0,3786020,-27139.0
1992,06,California,state,A05,3,2437434.0,2411574.0,7554.0,1965855.0,3228848,-25860.0
1992,06,California,state,A05,4,5238885.0,5179654.0,8444.0,4353159.0,6667469,-59230.0
1992,06,California,state,A05,5,28560795.0,28247459.0,9820.0,25100924.0,33639803,-313336.0
1992,16,Idaho,state,A05,1,70723.0,77105.0,3929.0,49539.0,121764,6381.0
1992,16,Idaho,state,A05,2,85033.0,85620.0,4359.0,64132.0,124521,586.0
1992,16,Idaho,state,A05,3,84233.0,83998.0,4544.0,63899.0,121239,-235.0
1992,16,Idaho,state,A05,4,165010.0,166456.0,5186.0,131011.0,227734,1447.0
1992,16,Idaho,state,A05,5,926913.0,932239.0,7368.0,804736.0,1134886,5327.0
1992,24,Maryland,state,A05,1,256489.0,284747.0,5929.0,195671.0,399618,28258.0
