time,fips,region,geo_level,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1993,00,United States,us,A05,1,,19759976.0,,,28613264,
1993,00,United States,us,A05,2,,20312223.0,,,28065679,
1993,00,United States,us,A05,3,,20408498.0,,,27175391,
1993,00,United States,us,A05,4,,46367584.0,,,59736256,
1993,00,United States,us,A05,5,,259874602.0,,,309349426,
1994,00,United States,us,A05,1,18885014.0,20813841.0,5730.0,14170334.0,30041997,1928979.0
1994,00,United States,us,A05,2,19484807.0,19594702.0,6005.0,15122698.0,27452896,110227.0
1994,00,United States,us,A05,3,20209580.0,20349537.0,6360.0,16103842.0,27475604,140199.0
1994,00,United States,us,A05,4,48359243.0,48639571.0,6884.0,39582082.0,63529553,280444.0
1994,00,United States,us,A05,5,267727994.0,268433298.0,8794.0,233885362.0,322679185,705200.0
1995,00,United States,us,A05,1,18949878.0,20939700.0,5844.0,14206624.0,30146309,1989855.0
1995,00,United States,us,A05,2,20978806.0,21048242.0,6269.0,16238479.0,29514948,69120.0
1995,00,United States,us,A05,3,19616265.0,19694163.0,6562.0,15575584.0,26724971,78050.0
1995,00,United States,us,A05,4,49737516.0,49924838.0,7206.0,40680818.0,65254362,187428.0
1995,00,United States,us,A05,5,276979328.0,277465425.0,9111.0,241130818.0,334453957,486347.0
1996,00,United States,us,A05,1,20041379.0,22057526.0,6493.0,15123936.0,31469562,2016047.0
1996,00,United States,us,A05,2,20835810.0,20937933.0,6579.0,16198859.0,29056744,102015.0
1996,00,United States,us,A05,3,19248345.0,19323511.0,6941.0,15301494.0,26205047,75005.0
1996,00,United States,us,A05,4,49651229.0,49791688.0,7556.0,40514570.0,65272650,140374.0
1996,00,United States,us,A05,5,285474047.0,286120441.0,9486.0,248488197.0,344346435,646559.0
1997,00,United States,us,A05,1,19305706.0,21273585.0,6755.0,14517734.0,30446808,1967975.0
1997,00,United States,us,A05,2,21571441.0,21725627.0,7371.0,16826766.0,29979475,154396.0
1997,00,United States,us,A05,3,19980214.0,20054437.0,7414.0,15878481.0,27155087,74140.0
1997,00,United States,us,A05,4,47936346.0,48110762.0,7938.0,38948833.0,63386518,174098.0
1997,00,United States,us,A05,5,297988896.0,299093411.0,9978.0,258724126.0,360875181,1104475.0
1998,00,United States,us,A05,1,20163463.0,22045382.0,7388.0,15418050.0,31096774,1881852.0
